-0.9239967 1.506632 0.6262254|-0.1706002 1.24389 0.634214|-1.704711 1.178344 0.6292317|-0.9039595 0.9335803 0.4828905|-0.8830798 0.02189827 0.6424822|-1.051169 0.02008009 0.6184213
-0.9243395 1.506727 0.6264211|-0.171026 1.242049 0.6338733|-1.704519 1.175482 0.6292175|-0.9040153 0.9337295 0.482854|-0.8831279 0.02192378 0.6425014|-1.051208 0.02008033 0.6184422
-0.9246676 1.506815 0.6265919|-0.1713398 1.239805 0.6333206|-1.704397 1.17279 0.6291862|-0.9040582 0.9338253 0.4828552|-0.8831508 0.02201509 0.6424487|-1.051166 0.0200901 0.6183988
-0.9249547 1.50686 0.62679|-0.1719635 1.237253 0.632964|-1.703994 1.169205 0.6291696|-0.9041717 0.93396 0.4828318|-0.8832109 0.02212143 0.6424795|-1.051124 0.02012777 0.6184703
-0.9253008 1.506943 0.62696|-0.172344 1.234491 0.6325897|-1.703382 1.164556 0.629035|-0.9042175 0.9341141 0.4828172|-0.883208 0.02211142 0.6425178|-1.051151 0.02011538 0.6184993
-0.925719 1.507064 0.6271583|-0.1729929 1.230473 0.6323167|-1.702863 1.160001 0.6289126|-0.9042108 0.9342763 0.4828184|-0.8831046 0.02195978 0.6425338|-1.051141 0.02007818 0.6185008
-0.9258749 1.507263 0.627393|-0.1737964 1.225707 0.6321583|-1.70204 1.153683 0.6289189|-0.904279 0.9344338 0.4827827|-0.8831289 0.02191281 0.6425208|-1.051149 0.02006006 0.6184478
-0.9262712 1.507473 0.6275966|-0.1746585 1.220989 0.6318964|-1.700977 1.146581 0.6288959|-0.9042814 0.9345282 0.4827404|-0.8830326 0.02185464 0.6424682|-1.051191 0.02014709 0.6184341
-0.9266994 1.50764 0.6278048|-0.1759689 1.214748 0.6325495|-1.699948 1.138673 0.6290079|-0.9043963 0.9346955 0.4826741|-0.8830464 0.02184963 0.6425258|-1.051296 0.02021265 0.6184485
-0.9270942 1.507834 0.6280186|-0.1775477 1.207502 0.6330469|-1.698619 1.130255 0.6291215|-0.904505 0.9348128 0.4825542|-0.8830912 0.02171516 0.6425831|-1.051306 0.02019024 0.6184372
-0.9275177 1.50808 0.6282165|-0.1792781 1.199167 0.6338042|-1.696839 1.120464 0.6293523|-0.9046671 0.9349256 0.4824833|-0.8831108 0.02174163 0.6426615|-1.051276 0.02021623 0.6184325
-0.9279463 1.508208 0.6284212|-0.1811473 1.190993 0.6346112|-1.694492 1.109167 0.6295918|-0.9048326 0.9351262 0.4824594|-0.8831589 0.02187824 0.6425933|-1.051286 0.02020383 0.6184214
-0.9283803 1.50835 0.6285681|-0.1833427 1.180834 0.6355313|-1.69176 1.096742 0.6299416|-0.9050338 0.9353821 0.4824708|-0.8831336 0.02192998 0.6425538|-1.051249 0.02024817 0.618479
-0.928828 1.508448 0.6288196|-0.1859744 1.16955 0.6364653|-1.688376 1.08343 0.6304518|-0.9052989 0.9354948 0.4824771|-0.8831289 0.02196646 0.6425763|-1.051256 0.02022457 0.6184753
-0.9292939 1.508528 0.6290107|-0.1888311 1.157302 0.6374698|-1.684897 1.070134 0.6307883|-0.9054992 0.9357082 0.48236|-0.8831117 0.02179861 0.6426648|-1.051266 0.02025819 0.6185507
-0.9297254 1.508693 0.629225|-0.1920693 1.143965 0.6382428|-1.68041 1.054651 0.631012|-0.9057438 0.9359293 0.4821675|-0.8830726 0.02166963 0.6426629|-1.051247 0.02027392 0.6186262
-0.9301836 1.508853 0.6294358|-0.1956728 1.130725 0.6389527|-1.675162 1.038176 0.6311443|-0.9059637 0.9360684 0.4820076|-0.8830955 0.02181411 0.6426269|-1.051259 0.0202508 0.618636
-0.9306471 1.508993 0.6295902|-0.2002542 1.115384 0.6395059|-1.67006 1.021938 0.6313651|-0.9062755 0.9361966 0.4819177|-0.8830884 0.02177167 0.6426046|-1.05121 0.02024031 0.6186603
-0.9311397 1.509163 0.6297728|-0.2051847 1.099085 0.6397895|-1.664019 1.004063 0.6315619|-0.9065139 0.9362881 0.4817154|-0.8831499 0.02176499 0.6426971|-1.051204 0.02022243 0.6186793
-0.9316823 1.50932 0.6299249|-0.2105563 1.083103 0.6401004|-1.656934 0.9851369 0.6314485|-0.9067609 0.9364858 0.4815736|-0.883148 0.02169871 0.6427611|-1.051227 0.02022362 0.6186533
-0.9322383 1.509468 0.6300807|-0.2174032 1.064674 0.6399798|-1.648631 0.9655504 0.6313461|-0.9070699 0.9366213 0.4813327|-0.8831661 0.02172422 0.642754|-1.051224 0.02027249 0.6185801
-0.9329236 1.509603 0.6302298|-0.2239511 1.047272 0.6401311|-1.640175 0.9457226 0.6308947|-0.9076054 0.9367086 0.4811057|-0.88322 0.0217135 0.6428505|-1.051291 0.02027655 0.6185566
-0.9335697 1.509725 0.6303848|-0.2310407 1.029344 0.6399081|-1.629925 0.9251328 0.6303031|-0.9079974 0.9368551 0.4808749|-0.8833683 0.02185392 0.6428339|-1.051333 0.02032423 0.6185188
-0.9342268 1.509858 0.6305408|-0.2393897 1.009424 0.6389732|-1.618907 0.904526 0.6296539|-0.9084413 0.9370781 0.4806393|-0.8833573 0.02179599 0.6428165|-1.051362 0.02028871 0.6185279
-0.9349139 1.50997 0.6307076|-0.2482765 0.989763 0.6381081|-1.607422 0.8841828 0.6283456|-0.90887 0.9373084 0.4804111|-0.8833168 0.02180886 0.6427523|-1.051383 0.0203197 0.6185672
-0.9356272 1.510055 0.6308753|-0.2583539 0.9693855 0.6371484|-1.594531 0.8628988 0.6269549|-0.9094875 0.937458 0.4801534|-0.883332 0.0217433 0.6427305|-1.051422 0.020257 0.6185757
-0.9363248 1.510091 0.6309659|-0.2691596 0.9494975 0.635704|-1.580884 0.8417071 0.6243197|-0.9101393 0.9376049 0.4799013|-0.8833053 0.02177668 0.6427799|-1.051367 0.02025318 0.6185718
-0.9371188 1.510126 0.631037|-0.2797821 0.9291677 0.6340331|-1.566949 0.8204831 0.6218371|-0.9110177 0.9376205 0.4795653|-0.8831894 0.0217433 0.6427854|-1.051321 0.02026963 0.6185981
-0.937969 1.510179 0.6310531|-0.291765 0.9092954 0.6317239|-1.551378 0.8000441 0.6184119|-0.9116561 0.9377519 0.479255|-0.8831685 0.02176404 0.6427555|-1.05131 0.02024007 0.6185517
-0.9388721 1.510197 0.6310605|-0.3046482 0.889607 0.6287498|-1.534987 0.7800362 0.6143143|-0.9124196 0.9377692 0.4789134|-0.8830941 0.02165079 0.6427747|-1.051313 0.02028775 0.6184723
-0.9397781 1.510204 0.6310277|-0.3171871 0.8701457 0.6261662|-1.518646 0.7605616 0.6104146|-0.9130409 0.9378191 0.4785281|-0.8830917 0.02163839 0.6427188|-1.051331 0.02032423 0.6184572
-0.9407623 1.510221 0.6310108|-0.3310335 0.850741 0.6234288|-1.501475 0.7427254 0.6056387|-0.913841 0.9378707 0.4781239|-0.8831022 0.02161074 0.642678|-1.051383 0.0203414 0.6184618
-0.9418237 1.510257 0.6309966|-0.345681 0.8324175 0.6205082|-1.484573 0.7258363 0.6005635|-0.9145372 0.938113 0.4777268|-0.8831441 0.02162099 0.6426679|-1.051328 0.02033377 0.6185403
-0.9429691 1.510203 0.6308861|-0.360327 0.8149664 0.6180334|-1.466936 0.7106289 0.5953907|-0.9153984 0.9382174 0.4773253|-0.8831489 0.02173305 0.6426641|-1.05131 0.02029634 0.6185327
